timestamp,tweet_text,username,all_hashtags
2019-12-14 12:51:07,"b'RT @Toonforbrains: One of my favorite Batman the Animated Series episodes is Holiday Knights, featuring 3 separate stories centered around\xe2\x80\xa6'",b'WolfbaneKiryu',[]
2019-12-14 12:50:53,b'// I\xe2\x80\x99m actually shocked that no one liked the Jingle bells jingle bells Batman smells that was the mark Hamell version of joker',b'Joker_Quinn456',[]
2019-12-14 12:50:48,"b""@jaydoshij Mine is October, couldn't agree more""",b'batman_ishh',[]
2019-12-14 12:50:35,"b""RT @mrjohndarby: date: who's your favourite superhero?me: *loudly* all the working single mothersdate: I like batman""",b'Scottzilla667',[]
2019-12-14 12:50:24,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'DrRossGeller_',[]
2019-12-14 12:50:20,b'RT @DCUniverseBRA: Gente a DC Comics..https://t.co/HrCBQ76yej',b'xaviando_',[]
2019-12-14 12:50:19,"b'@scottygb PC cops are everywhere, Joker was right what he said to Batman in that interrogation cell.""These people and morals, it is a bad Joke""Lets see where do we find these cupcake \'college students\'.'",b'je_suis_science',[]
2019-12-14 12:50:18,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'PUSHPARAJZALA3',[]
2019-12-14 12:50:13,"b'@WarnerBrosUK Sorry, but @BenAffleck was my Batman.Best live-action take of the character. THE GODDAMN BATMAN! \xf0\x9f\x96\xa4@wbpictures #ReleaseTheSnyderCut https://t.co/CMa05hY1Qy'",b'Tarik91535900',['ReleaseTheSnyderCut']
2019-12-14 12:50:11,"b'#OTD in #music history (12/14/1966):  Chad and Jeremy appear in the Batman episode ""The Cat\'s Meow"".  @60s_Batman @gettv @julienewmarreal https://t.co/jpeSCOeVhq'",b'CarolynMuse4',"['OTD', 'music']"
2019-12-14 12:50:04,"b""RT @JDBtheROCKING6: If Asim's voice is irritating then I'm Batman #WeLoveAsimKiAwaaz""",b'Gurleen_k6',['WeLoveAsimKiAwaaz']
2019-12-14 12:50:00,"b""RT @maskofdphantasm: Zack gave Batman 3 suits in his first movie. Two for Kal in MoS. Why wouldn't he have the actual solar suit made when\xe2\x80\xa6""",b'Mohith7548',[]
2019-12-14 12:49:45,"b'He\xe2\x80\x99s an honest-to-god Corruption Batman, I tell ya... https://t.co/871w14KjTX'",b'dudadius',[]
2019-12-14 12:49:40,"b""Eventually, he allowed Dick to see The Mark of Zorro at the time - but Bruce would remember it as an indicator of Jim's character.""",b'Batman_Kinda',[]
2019-12-14 12:49:38,"b""@itzZ_Psycho__ It's about who's the Best batman I was obviously pointing out his acting skills so STFU""",b'AjaY_LosersClub',[]
2019-12-14 12:49:36,b'RT @RealKevinConroy: The definitive Batman voice finally gets his Dark Knight moment in front of the camera - The Washington Post https://t\xe2\x80\xa6',b'The_Killer_4009',[]
2019-12-14 12:49:32,b'RT @DCUniverseBRA: Gente a DC Comics..https://t.co/HrCBQ76yej',b'witchelloj',[]
2019-12-14 12:49:27,"b'RT @DiscussingFilm: The DCEU finally has a slate:BIRDS OF PREY: Feb 7, 2020WONDER WOMAN 1984: Jun 5, 2020THE BATMAN: Jun 25, 2021THE S\xe2\x80\xa6'",b'ElCharro92',[]
2019-12-14 12:49:12,"b'RT @Liseth_Villan: @dickinsonluthor @lostariels this is because their contantly desire to see her as  ""a superman with boobs"" She is Not! a\xe2\x80\xa6'",b'CandyMaryIX',[]
2019-12-14 12:48:44,"b""RT @mrjohndarby: date: who's your favourite superhero?me: *loudly* all the working single mothersdate: I like batman""",b'mrjohndarby',[]
